trade_date,平安银行,万科A,国农科技,世纪星源,深振业A,全新好,神州高铁,中国宝安,美丽生态,深物业A
2020-03-11,0.0,-0.05827499083878185,-0.09651718643296159,0.009803921568627416,-0.04314002828854313,-0.013318534961154205,0.08083994232155733,-0.05154505994212488,-0.024390243902438935,-0.040429298243442435
2020-03-12,-0.04613472927241968,-0.07275587517657633,-0.08110047846889956,-0.032573289902280034,-0.06286315874719095,-0.06181015452538641,0.0,-0.11195714559020464,-0.02732240437158473,-0.04524892485778376
2020-03-13,-0.03393409449298512,-0.05396789441600014,-0.09331742243436747,-0.0360655737704918,-0.03432984968980313,-0.08794788273615639,0.014399722414989435,-0.1410728141973917,-0.054200542005420016,-0.04342584453095566
2020-03-16,-0.04844602442715851,-0.06579340402710088,-0.11005264477312615,-0.05280528052805267,-0.010433886515382351,-0.13891834570519623,-0.039566917975171534,-0.16535764560392574,-0.030898876404494402,-0.03607453158787499
2020-03-17,-0.09146606203868979,-0.08733902328165244,-0.12885840274375304,-0.07166123778501621,-0.03505864354920962,-0.10769230769230775,-0.04708302065093528,-0.16883438138759788,-0.030555555555555558,-0.031063692208212035
2020-03-18,-0.13478610107053335,-0.13429931903128367,-0.13101536911060707,-0.06148867313915851,-0.06352021961778054,-0.08998875140607432,-0.07479362961727676,-0.15625595902912093,-0.05833333333333335,-0.011158842576467154
2020-03-19,-0.1668907120485601,-0.15759405577214702,-0.07966675344962237,-0.05050505050505061,-0.04193311441410297,-0.02588235294117658,-0.04870195210303885,-0.10029155356399089,-0.03651685393258419,0.028687886183083267
2020-03-20,-0.13773705190447172,-0.1239383653290892,-0.091866280600158,-0.030612244897959107,-0.03348065107254494,-0.010714285714285676,-0.0710050738270338,-0.06832289086405374,-0.005730659025787954,0.04287664758703991
2020-03-23,-0.11636199536889769,-0.13980401204849924,-0.09014084507042264,-0.03135888501742168,-0.06315492591065897,0.013546798029556717,-0.0941096618072359,-0.09118564988493427,-0.017391304347826098,0.06194000779119602
2020-03-24,-0.05965971584832097,-0.11419391014999591,-0.06917885264341961,-0.010526315789473717,-0.03417448363940645,0.0024630541871923928,-0.09301443780078755,-0.020300433890446556,-0.002865329512894088,0.07565100169507377
